Date,Open,High,Low,Close,Volume,Adj Close
2014-10-17,2496.47,2505.35,2412.07,2496.47,50185800,2462.934
2014-10-16,2403.18,2429.83,2261.03,2403.18,40731900,2370.898
2014-10-15,2287.69,2301.01,2154.42,2287.69,43169700,2256.959
2014-10-14,2136.66,2154.42,2061.14,2136.66,14189900,2107.958
2014-10-13,2087.79,2149.98,2087.79,2087.79,17861100,2059.744
2014-10-10,2145.54,2198.84,2136.66,2145.54,19500600,2116.719
2014-10-09,2243.27,2327.67,2238.82,2243.27,16935500,2213.136
2014-10-08,2265.48,2323.22,2247.71,2265.48,10438200,2235.047
2014-10-07,2336.55,2340.99,2296.57,2336.55,8679200,2305.163
2014-10-06,2296.57,2372.09,2256.59,2296.57,9661300,2265.72
2014-10-03,2327.67,2416.51,2274.36,2327.67,11251000,2296.402
2014-10-02,2394.30,2469.81,2394.30,2394.30,17011500,2362.137
2014-10-01,2523.12,2536.45,2443.16,2523.12,11117000,2489.227
2014-09-30,2456.49,2478.70,2438.72,2456.49,4131000,2423.492
2014-09-29,2456.49,2514.23,2434.28,2456.49,7586700,2423.492
2014-09-26,2492.02,2558.66,2487.58,2492.02,13032700,2458.544
2014-09-25,2589.75,2607.52,2580.87,2589.75,3393200,2554.961
2014-09-24,2585.31,2616.40,2576.42,2585.31,6121300,2550.581
2014-09-23,2585.31,2603.08,2585.31,2585.31,2598700,2550.581
2014-09-22,2603.08,2629.73,2594.19,2603.08,4507700,2568.112
2014-09-19,2629.73,2660.82,2625.29,2629.73,12478600,2594.404
2014-09-18,2634.17,2691.92,2629.73,2634.17,11586400,2598.785
2014-09-17,2669.71,2674.15,2598.63,2669.71,10903100,2633.847
2014-09-16,2580.87,2620.85,2580.87,2580.87,2302600,2546.201
2014-09-15,2589.75,2620.85,2576.42,2589.75,5837700,2554.961
2014-09-12,2616.40,2629.73,2567.54,2616.40,6614100,2581.253
2014-09-11,2620.85,2656.38,2620.85,2620.85,4176600,2585.644
2014-09-10,2620.85,2656.38,2603.08,2620.85,8757700,2585.644
2014-09-09,2660.82,2745.22,2660.82,2660.82,16732000,2625.077
2014-09-08,2723.01,2749.67,2714.13,2723.01,6891900,2686.431
2014-09-05,2727.46,2776.32,2727.46,2727.46,8718200,2690.822
2014-09-04,2749.67,2807.41,2749.67,2749.67,17720800,2712.733
2014-09-03,2771.88,2780.76,2714.13,2771.88,14689900,2734.645
2014-09-02,2714.13,2736.34,2700.80,2714.13,7952900,2677.671
2014-09-01,2714.13,2745.22,2705.25,2714.13,5400500,2677.671
2014-08-29,2727.46,2745.22,2700.80,2727.46,4856000,2690.822
2014-08-28,2709.69,2740.78,2705.25,2709.69,6767300,2673.29
2014-08-27,2705.25,2749.67,2687.48,2705.25,13776800,2668.91
2014-08-26,2687.48,2794.09,2687.48,2687.48,19531900,2651.379
2014-08-25,2771.88,2802.97,2771.88,2771.88,8099900,2734.645
2014-08-22,2798.53,2842.95,2798.53,2798.53,19439900,2760.937
2014-08-21,2811.86,2829.62,2776.32,2811.86,18156500,2774.088
2014-08-20,2794.09,2820.74,2762.99,2794.09,19445100,2756.557
2014-08-19,2811.86,2842.95,2811.86,2811.86,17420300,2774.088
2014-08-18,2811.86,2838.51,2802.97,2811.86,16674500,2774.088
2014-08-15,2802.97,2816.30,2794.09,2802.97,12055300,2765.317
2014-08-14,2794.09,2847.39,2789.65,2794.09,15593800,2756.557
2014-08-13,2829.62,2860.72,2816.30,2829.62,20544300,2791.609
2014-08-12,2838.51,2869.60,2794.09,2838.51,43927200,2800.38
2014-08-11,2780.76,2785.20,2745.22,2780.76,15411400,2743.406
2014-08-08,2718.57,2749.67,2714.13,2718.57,9005700,2682.051
2014-08-07,2736.34,2767.44,2731.90,2736.34,14455100,2699.582
2014-08-06,2745.22,2785.20,2736.34,2745.22,16570100,2708.343
2014-08-05,2789.65,2811.86,2718.57,2789.65,22854500,2752.176
2014-08-04,2718.57,2745.22,2687.48,2718.57,15317100,2682.051
2014-08-01,2762.99,2762.99,2762.99,2762.99,000,2725.874
2014-07-31,2762.99,2762.99,2762.99,2762.99,000,2725.874
2014-07-30,2762.99,2762.99,2762.99,2762.99,000,2725.874
2014-07-29,2762.99,2762.99,2762.99,2762.99,000,2725.874
2014-07-28,2762.99,2762.99,2762.99,2762.99,000,2725.874
2014-07-25,2762.99,2776.32,2709.69,2762.99,22321400,2725.874
2014-07-24,2731.90,2851.84,2727.46,2731.90,40536300,2695.202
2014-07-23,2825.18,2998.42,2816.30,2825.18,76806700,2787.229
2014-07-22,2936.24,3033.96,2829.62,2936.24,75390100,2896.797
2014-07-21,3002.87,3038.40,2914.02,3002.87,67194100,2962.532
2014-07-18,2887.37,2905.14,2794.09,2887.37,24358600,2848.584
2014-07-17,2834.07,2918.47,2834.07,2834.07,31311500,2796.00
2014-07-16,2887.37,2940.68,2869.60,2887.37,45525200,2848.584
2014-07-15,2900.70,2918.47,2789.65,2900.70,55224700,2861.734
2014-07-14,2780.76,2811.86,2709.69,2780.76,20960100,2743.406
2014-07-11,2771.88,2820.74,2731.90,2771.88,27461200,2734.645
2014-07-10,2811.86,2865.16,2771.88,2811.86,81807800,2774.088
2014-07-09,2789.65,2789.65,2789.65,2789.65,000,2752.176
2014-07-08,2789.65,2847.39,2740.78,2789.65,43088100,2752.176
2014-07-07,2789.65,2798.53,2603.08,2789.65,59937900,2752.176
2014-07-04,2585.31,2585.31,2469.81,2585.31,40172200,2550.581
2014-07-03,2474.26,2496.47,2420.95,2474.26,26309000,2441.023
2014-07-02,2452.05,2483.14,2443.16,2452.05,9295400,2419.111
2014-07-01,2452.05,2496.47,2438.72,2452.05,11976100,2419.111
2014-06-30,2474.26,2487.58,2429.83,2474.26,15749900,2441.023
2014-06-27,2429.83,2447.60,2412.07,2429.83,9377400,2397.19
2014-06-26,2420.95,2434.28,2403.18,2420.95,13669900,2388.429
2014-06-25,2398.74,2505.35,2385.41,2398.74,25056500,2366.517
2014-06-24,2487.58,2492.02,2327.67,2487.58,31003700,2454.164
2014-06-23,2354.32,2452.05,2354.32,2354.32,11700800,2322.694
2014-06-20,2434.28,2456.49,2403.18,2434.28,14307500,2401.58
2014-06-19,2429.83,2527.56,2425.39,2429.83,20903500,2397.19
2014-06-18,2500.91,2576.42,2496.47,2500.91,21041600,2467.315
2014-06-17,2580.87,2643.06,2567.54,2580.87,10125800,2546.201
2014-06-16,2620.85,2674.15,2589.75,2620.85,8480200,2585.644
2014-06-13,2656.38,2683.03,2656.38,2656.38,5162600,2620.696
2014-06-12,2687.48,2705.25,2647.50,2687.48,15402100,2651.379
2014-06-11,2687.48,2687.48,2576.42,2687.48,28021500,2651.379
2014-06-10,2567.54,2585.31,2540.89,2567.54,10180800,2533.05
2014-06-09,2540.89,2665.27,2532.00,2540.89,20682900,2506.758
2014-06-06,2643.06,2705.25,2638.61,2643.06,17225800,2607.555
2014-06-05,2687.48,2687.48,2647.50,2674.15,13314700,2638.228
2014-06-04,2674.15,2736.34,2656.38,2674.15,18470600,2638.228
2014-06-03,2714.13,2762.99,2696.36,2714.13,14343600,2677.671
2014-06-02,2723.01,2798.53,2669.71,2723.01,26587100,2686.431
2014-05-30,2780.76,2851.84,2776.32,2780.76,16265500,2743.406
2014-05-29,2834.07,2834.07,2834.07,2834.07,000,2796.00
2014-05-28,2834.07,2878.49,2811.86,2834.07,14534300,2796.00
2014-05-27,2856.28,2856.28,2856.28,2856.28,000,2817.911
2014-05-26,2856.28,2905.14,2851.84,2856.28,7141600,2817.911
2014-05-23,2896.26,2905.14,2856.28,2896.26,23206100,2857.354
2014-05-22,2882.93,2896.26,2865.16,2882.93,29869800,2844.203
2014-05-21,2847.39,2856.28,2762.99,2847.39,31889900,2809.14
2014-05-20,2798.53,2829.62,2745.22,2798.53,44276900,2760.937
2014-05-19,2789.65,2967.33,2758.55,2789.65,68898400,2752.176
2014-05-16,2905.14,2936.24,2878.49,2887.37,27298000,2848.584
2014-05-15,2905.14,2905.14,2905.14,2905.14,000,2866.115
